
2024/02/20 (16:05:14) | ===> btop++ v.1.2.13
2024/02/20 (16:05:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/20 (16:09:47) | ===> btop++ v.1.2.13
2024/02/20 (16:09:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/20 (16:10:56) | ===> btop++ v.1.2.13
2024/02/20 (16:10:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/20 (16:12:14) | ===> btop++ v.1.2.13
2024/02/20 (16:12:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/20 (16:13:36) | ===> btop++ v.1.2.13
2024/02/20 (16:13:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/20 (16:16:11) | ===> btop++ v.1.2.13
2024/02/20 (16:16:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
